RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-11-30,2024-01-31,2024-10-31
102001,0,United States,country,,2023-10-31,0.2,0.2,-0.1
394913,1,"New York, NY",msa,NY,2023-10-31,0.2,-0.3,-3.0
753899,2,"Los Angeles, CA",msa,CA,2023-10-31,0.7,0.4,-1.7
394463,3,"Chicago, IL",msa,IL,2023-10-31,0.2,-0.1,-2.4
394514,4,"Dallas, TX",msa,TX,2023-10-31,-0.1,-0.7,-1.1
394692,5,"Houston, TX",msa,TX,2023-10-31,-0.2,-0.9,-2.1
395209,6,"Washington, DC",msa,VA,2023-10-31,0.0,-0.5,-2.8
394974,7,"Philadelphia, PA",msa,PA,2023-10-31,0.2,0.0,-0.9
394856,8,"Miami, FL",msa,FL,2023-10-31,0.4,0.6,1.8
394347,9,"Atlanta, GA",msa,GA,2023-10-31,0.1,0.0,1.0
394404,10,"Boston, MA",msa,MA,2023-10-31,0.3,0.0,-1.6
394976,11,"Phoenix, AZ",msa,AZ,2023-10-31,0.1,-0.7,0.6
395057,12,"San Francisco, CA",msa,CA,2023-10-31,0.0,-1.1,-4.7
395025,13,"Riverside, CA",msa,CA,2023-10-31,0.4,0.3,0.3
394532,14,"Detroit, MI",msa,MI,2023-10-31,0.2,-0.1,-1.4
395078,15,"Seattle, WA",msa,WA,2023-10-31,0.1,-0.4,-1.7
394865,16,"Minneapolis, MN",msa,MN,2023-10-31,-0.2,-0.8,-3.2
395056,17,"San Diego, CA",msa,CA,2023-10-31,0.6,0.3,0.2
395148,18,"Tampa, FL",msa,FL,2023-10-31,0.1,-0.4,1.3
394530,19,"Denver, CO",msa,CO,2023-10-31,0.0,-0.5,-1.9
394358,20,"Baltimore, MD",msa,MD,2023-10-31,-0.1,-0.8,-3.2
395121,21,"St. Louis, MO",msa,MO,2023-10-31,0.1,-0.4,-1.6
394943,22,"Orlando, FL",msa,FL,2023-10-31,0.1,-0.3,0.5
394458,23,"Charlotte, NC",msa,NC,2023-10-31,0.2,0.1,1.2
395055,24,"San Antonio, TX",msa,TX,2023-10-31,-0.4,-1.1,-2.2
394998,25,"Portland, OR",msa,OR,2023-10-31,-0.1,-0.7,-2.7
395045,26,"Sacramento, CA",msa,CA,2023-10-31,-0.1,-0.7,-2.5
394982,27,"Pittsburgh, PA",msa,PA,2023-10-31,0.1,-0.3,-2.2
394466,28,"Cincinnati, OH",msa,OH,2023-10-31,0.0,-0.2,-0.4
394355,29,"Austin, TX",msa,TX,2023-10-31,-0.8,-2.7,-2.5
394775,30,"Las Vegas, NV",msa,NV,2023-10-31,0.2,-0.5,-1.4
394735,31,"Kansas City, MO",msa,MO,2023-10-31,0.2,0.0,-0.3
394492,32,"Columbus, OH",msa,OH,2023-10-31,0.1,-0.1,0.1
394705,34,"Indianapolis, IN",msa,IN,2023-10-31,0.0,0.0,0.6
394475,35,"Cleveland, OH",msa,OH,2023-10-31,0.2,0.3,-0.5
395059,36,"San Jose, CA",msa,CA,2023-10-31,0.8,-0.4,-4.5
394902,37,"Nashville, TN",msa,TN,2023-10-31,-0.1,-0.5,-0.5
395194,38,"Virginia Beach, VA",msa,VA,2023-10-31,0.1,-0.1,-1.2
395005,39,"Providence, RI",msa,RI,2023-10-31,0.4,0.4,0.0
394714,40,"Jacksonville, FL",msa,FL,2023-10-31,-0.1,-0.7,-0.1
394862,41,"Milwaukee, WI",msa,WI,2023-10-31,0.1,-0.2,-1.2
394935,42,"Oklahoma City, OK",msa,OK,2023-10-31,0.1,0.0,-0.4
395012,43,"Raleigh, NC",msa,NC,2023-10-31,-0.1,-0.6,0.1
394849,44,"Memphis, TN",msa,TN,2023-10-31,-0.3,-0.6,-0.1
395022,45,"Richmond, VA",msa,VA,2023-10-31,0.1,-0.1,-0.5
394807,46,"Louisville, KY",msa,KY,2023-10-31,0.1,0.0,-1.2
394910,47,"New Orleans, LA",msa,LA,2023-10-31,-0.8,-1.8,-5.8
395053,48,"Salt Lake City, UT",msa,UT,2023-10-31,0.1,-0.3,0.0
394669,49,"Hartford, CT",msa,CT,2023-10-31,0.6,1.0,0.7
394425,50,"Buffalo, NY",msa,NY,2023-10-31,0.1,-0.3,-0.6
394388,51,"Birmingham, AL",msa,AL,2023-10-31,-0.2,-0.6,-1.0
395031,52,"Rochester, NY",msa,NY,2023-10-31,0.1,-0.2,0.1
394640,53,"Grand Rapids, MI",msa,MI,2023-10-31,0.1,0.0,-0.1
395167,54,"Tucson, AZ",msa,AZ,2023-10-31,0.2,-0.2,0.5
753924,55,"Urban Honolulu, HI",msa,HI,2023-10-31,-0.3,-1.0,-3.6
395169,56,"Tulsa, OK",msa,OK,2023-10-31,0.3,0.5,0.3
394619,57,"Fresno, CA",msa,CA,2023-10-31,0.0,-0.4,-1.2
395238,58,"Worcester, MA",msa,MA,2023-10-31,0.5,0.6,0.4
394938,59,"Omaha, NE",msa,NE,2023-10-31,-0.1,-0.4,-0.5
394415,60,"Bridgeport, CT",msa,CT,2023-10-31,0.7,0.8,-0.3
394653,61,"Greenville, SC",msa,SC,2023-10-31,0.1,-0.2,0.0
394312,62,"Albuquerque, NM",msa,NM,2023-10-31,0.3,0.3,1.5
394357,63,"Bakersfield, CA",msa,CA,2023-10-31,0.1,-0.2,-0.2
394308,64,"Albany, NY",msa,NY,2023-10-31,0.1,-0.3,-1.8
